timestamp,BTCUSDT,ETHUSDT,XRPUSDT,BNBUSDT,SOLUSDT,TRXUSDT,DOGEUSDT,ADAUSDT
2025-01-01,94591.79,3360.38,2.3328,707.84,194.28,0.2559,0.32513,0.9222
2025-01-02,96984.79,3455.67,2.4024,706.25,208.31,0.2651,0.33893,0.9612
2025-01-03,98174.18,3609.01,2.4547,714.88,217.99,0.2702,0.37989,1.0894
2025-01-04,98220.5,3656.88,2.4201,713.41,216.67,0.2697,0.39483,1.0707
2025-01-05,98363.61,3635.99,2.3994,709.29,213.41,0.2627,0.3823,1.0911
2025-01-06,102235.6,3687.45,2.42,729.42,218.22,0.2684,0.38782,1.0934
2025-01-07,96954.61,3381.31,2.2712,698.01,202.17,0.2526,0.348,0.9892
2025-01-08,95060.61,3327.29,2.3731,696.03,197.48,0.2505,0.3423,0.9468
2025-01-09,92552.49,3219.2,2.2722,685.48,184.95,0.2402,0.321,0.9045
2025-01-10,94726.11,3267.04,2.3414,693.21,187.68,0.2445,0.33388,0.9303
2025-01-11,94599.99,3282.83,2.5764,696.7,188.09,0.241,0.3412,0.9955
2025-01-12,94545.06,3267.3,2.5046,693.34,188.51,0.2336,0.33591,0.9677
2025-01-13,94536.1,3137.51,2.5232,688.64,182.87,0.2228,0.33807,0.9444
2025-01-14,96560.86,3225.63,2.6673,698.89,187.57,0.2209,0.35591,0.9972
2025-01-15,100497.35,3451.52,3.1429,714.59,205.86,0.2381,0.38537,1.0755
2025-01-16,99987.3,3308.05,3.2451,708.1,211.14,0.2371,0.37649,1.0892
2025-01-17,104077.48,3473.63,3.2922,721.76,219.51,0.2487,0.41525,1.133
2025-01-18,104556.23,3307.71,3.2697,709.52,261.97,0.2423,0.39641,1.1045
2025-01-19,101331.57,3215.12,2.9587,683.19,252.42,0.2287,0.3584,0.993
2025-01-20,102260.01,3284.0,3.1053,682.51,242.19,0.2383,0.35456,1.0094
2025-01-21,106143.82,3327.54,3.1738,692.21,250.33,0.2448,0.37177,1.0058
2025-01-22,103706.66,3242.6,3.1803,695.52,257.36,0.2536,0.36291,0.9827
2025-01-23,103910.34,3338.21,3.1194,689.74,253.11,0.2527,0.35206,0.9867
2025-01-24,104870.5,3310.09,3.1009,680.45,253.37,0.2543,0.35085,0.9712
2025-01-25,104746.85,3318.77,3.108,686.4,256.41,0.2534,0.35352,0.9766
2025-01-26,102620.0,3232.61,3.0223,667.37,240.5,0.2462,0.33605,0.953
2025-01-27,102082.83,3182.44,3.0552,679.74,234.89,0.2465,0.33397,0.9345
2025-01-28,101335.52,3077.72,3.0572,661.29,227.06,0.2399,0.31871,0.9169
2025-01-29,103733.24,3113.9,3.0683,667.97,228.16,0.2402,0.32404,0.9399
2025-01-30,104722.94,3247.39,3.1276,677.53,238.31,0.2519,0.33153,0.9595
2025-01-31,102429.56,3300.99,3.0361,677.47,231.77,0.2537,0.3289,0.9429
2025-02-01,100635.65,3117.54,2.8778,652.94,213.03,0.2443,0.30792,0.8948
