date,BTCUSDT,ETHUSDT,XRPUSDT,BNBUSDT,SOLUSDT,TRXUSDT,DOGEUSDT,ADAUSDT,sentiment_score,BTCUSDT_ma7,BTCUSDT_ma21,BTCUSDT_lag1,BTCUSDT_lag2,BTCUSDT_volatility_7d,BTCUSDT_RSI,ETHUSDT_ma7,ETHUSDT_ma21,ETHUSDT_lag1,ETHUSDT_lag2,ETHUSDT_volatility_7d,ETHUSDT_RSI,XRPUSDT_ma7,XRPUSDT_ma21,XRPUSDT_lag1,XRPUSDT_lag2,XRPUSDT_volatility_7d,XRPUSDT_RSI,BNBUSDT_ma7,BNBUSDT_ma21,BNBUSDT_lag1,BNBUSDT_lag2,BNBUSDT_volatility_7d,BNBUSDT_RSI,SOLUSDT_ma7,SOLUSDT_ma21,SOLUSDT_lag1,SOLUSDT_lag2,SOLUSDT_volatility_7d,SOLUSDT_RSI,DOGEUSDT_ma7,DOGEUSDT_ma21,DOGEUSDT_lag1,DOGEUSDT_lag2,DOGEUSDT_volatility_7d,DOGEUSDT_RSI,ADAUSDT_ma7,ADAUSDT_ma21,ADAUSDT_lag1,ADAUSDT_lag2,ADAUSDT_volatility_7d,ADAUSDT_RSI,TRXUSDT_ma7,TRXUSDT_ma21,TRXUSDT_lag1,TRXUSDT_lag2,TRXUSDT_volatility_7d,TRXUSDT_RSI
2025-01-21,106143.82,3327.54,3.1738,692.21,250.33,0.2448,0.37177,1.0058,0.0,102693.39428571428,98426.66952380953,102260.01,101331.57,2290.532393897794,67.77899066242207,3338.2242857142855,3375.2885714285712,3284.0,3215.12,92.39528105863796,48.03047507417311,3.1696714285714287,2.673642857142857,3.1053,2.9587,0.11553845989230686,73.56657963446476,701.6971428571429,702.0604761904763,682.51,683.19,15.661014988697035,47.7140154501025,234.7742857142857,211.0295238095238,242.19,252.42,22.269429611871317,68.04556354916068,0.37975,0.3611152380952381,0.35456,0.3584,0.021346571153232272,55.22440546837224,1.0586285714285715,1.014952380952381,1.0094,0.993,0.05534132615823729,51.44247480013903,0.2397142857142857,0.24648095238095238,0.2383,0.2287,0.00640375633812664,46.32768361581921
2025-01-22,103706.66,3242.6,3.1803,695.52,257.36,0.2536,0.36291,0.9827,0.0,103151.86714285714,98860.71095238095,106143.82,102260.01,2090.133459165641,66.38375202048054,3308.378571428572,3369.68,3327.54,3284.0,82.95987613068752,46.966625357278446,3.1750142857142856,2.714,3.1738,3.1053,0.11495741861767156,72.18069905473732,698.9728571428572,701.4738095238096,692.21,682.51,14.671875265606896,49.80107652703019,242.1314285714286,214.03333333333333,250.33,242.19,19.454008523156418,72.05037560760053,0.3765414285714286,0.3629142857142857,0.37177,0.35456,0.02203782084551588,54.46780836765663,1.0453714285714286,1.0178333333333334,1.0058,1.0094,0.061408759263526284,53.22783672001438,0.24192857142857144,0.24637142857142857,0.2448,0.2383,0.00818468372138162,51.37289636846767
2025-01-23,103910.34,3338.21,3.1194,689.74,253.11,0.2527,0.35206,0.9867,0.0,103712.30142857145,99190.49904761904,103706.66,106143.82,1558.5322697913118,73.581998877982,3312.6871428571426,3364.086666666666,3242.6,3327.54,83.71967704076198,54.30107915489089,3.1570571428571426,2.748142857142857,3.1803,3.1738,0.11196351871842015,73.80310182063386,696.35,700.687619047619,695.52,692.21,14.406993672056325,51.72581429265921,248.12714285714284,216.16666666666666,257.36,250.33,14.018861953674568,76.72941176470587,0.37305142857142853,0.36353952380952376,0.36291,0.37177,0.023902825097026768,57.052679382379644,1.0307285714285714,1.019047619047619,0.9827,1.0058,0.06143657201498458,57.93742757821553,0.24415714285714282,0.2457809523809524,0.2536,0.2448,0.008754781006752359,56.03864734299517
2025-01-24,104870.5,3310.09,3.1009,680.45,253.37,0.2543,0.35085,0.9712,0.0,103825.59,99509.37142857144,103910.34,103706.66,1617.218056560886,72.18017198592804,3289.324285714286,3349.8523809523813,3338.21,3242.6,45.345499907981576,51.57834532215845,3.1297285714285716,2.7789142857142854,3.1194,3.1803,0.09563564039774204,71.96483313089249,690.4485714285714,699.0480952380952,689.74,695.52,10.072426765799134,44.89518322931669,252.96428571428572,217.85142857142858,253.11,257.36,6.109173040444028,76.26969527313443,0.36385142857142855,0.3621566666666667,0.35206,0.36291,0.016061207331716433,54.06895890279575,1.0076142857142858,1.0134190476190477,0.9867,0.9827,0.04470463915417229,54.0295566502463,0.24495714285714287,0.24502380952380953,0.2527,0.2536,0.009466054641517332,54.86111111111112
2025-01-25,104746.85,3318.77,3.108,686.4,256.41,0.2534,0.35352,0.9766,0.0,103852.82142857143,99820.15,104870.5,103910.34,1633.0982710727662,72.18796904356225,3290.9042857142854,3333.7519047619044,3310.09,3338.21,46.27603226190374,51.324576533545624,3.1066285714285717,2.8116714285714286,3.1009,3.1194,0.07305467619725825,67.70819453697536,687.1457142857143,697.7619047619048,680.45,689.74,5.55325987489348,45.95888261142496,252.17000000000002,219.74380952380952,253.37,253.11,5.004761066557159,76.75857747140843,0.3577242857142857,0.36018952380952374,0.35085,0.35206,0.007434816422622242,53.021385128506964,0.9893428571428571,1.0089380952380953,0.9712,0.9867,0.014312914581226997,47.88921152557516,0.24654285714285715,0.24424761904761905,0.2543,0.2527,0.009867937498595726,56.31364562118127
2025-01-26,102620.0,3232.61,3.0223,667.37,240.5,0.2462,0.33605,0.953,0.0,104036.88285714286,100022.83523809524,104746.85,104870.5,1349.5708836603285,66.19029096625178,3293.402857142857,3314.5433333333326,3318.77,3310.09,41.75342848768443,48.7847599296569,3.115714285714286,2.8413333333333335,3.108,3.1009,0.052713863722667446,67.08693643144763,684.8857142857142,695.7657142857142,686.4,680.45,9.351561112354574,40.926559988819776,250.46714285714285,221.03380952380954,256.41,253.37,6.659756537806052,68.15927348934683,0.3545314285714286,0.35798714285714284,0.35352,0.35085,0.011027365095632664,50.032398407849676,0.9836285714285714,1.0023619047619048,0.9766,0.9712,0.019612981609613087,48.34272829763246,0.24904285714285712,0.24346190476190477,0.2534,0.2543,0.006086284346204823,56.42857142857142
2025-01-27,102082.83,3182.44,3.0552,679.74,234.89,0.2465,0.33397,0.9345,0.0,104011.57142857143,100015.56047619048,102620.0,104746.85,1389.5209101992168,64.81737671018514,3278.894285714286,3290.4952380952377,3232.61,3318.77,59.45718932059249,51.666951108208984,3.1085571428571432,2.871580952380952,3.0223,3.108,0.05754339977046356,67.39471619147267,684.4899999999999,693.4,667.37,686.4,9.525828047997043,47.04868019631252,249.42428571428573,221.82761904761907,240.5,256.41,8.491540608438227,68.1735606484069,0.35158999999999996,0.35542285714285715,0.33605,0.35352,0.01348965158927373,49.05083804055931,0.9729285714285714,0.9947952380952382,0.953,0.9766,0.02329532959527183,48.87166628675632,0.2502142857142857,0.24241904761904765,0.2462,0.2534,0.004157494666835126,63.54285714285713
2025-01-28,101335.52,3077.72,3.0572,661.29,227.06,0.2399,0.31871,0.9169,0.0,103324.67142857143,100224.17523809525,102082.83,102620.0,1347.624834494943,59.869747266867215,3243.2057142857143,3276.0385714285712,3182.44,3232.61,91.65143476911969,44.579152220601486,3.0919,2.909009523809524,3.0552,3.0223,0.052131500394040825,64.0545021988321,680.0728571428571,691.6514285714286,679.74,667.37,12.15532765811762,38.174613158887894,246.1,223.01285714285711,234.89,240.5,11.934700107948284,63.500854700854696,0.34401,0.35402809523809525,0.33397,0.33605,0.015074765890940336,41.28397375820057,0.9602285714285713,0.991352380952381,0.9345,0.953,0.026412352809856585,40.04956629491947,0.24951428571428574,0.2418142857142857,0.2465,0.2462,0.005436735715307116,60.303687635574825
2025-01-29,103733.24,3113.9,3.0683,667.97,228.16,0.2402,0.32404,0.9399,0.0,103328.46857142857,100637.15761904762,101335.52,102082.83,1348.9173589762725,57.143374339226455,3224.82,3265.8771428571426,3077.72,3182.44,103.88557198507795,35.627809562729894,3.0759000000000003,2.9421142857142857,3.0572,3.0552,0.034776812198176306,45.95707782354214,676.1371428571429,690.3152380952381,661.29,679.74,10.69227090672823,34.45585489463856,241.92857142857142,224.4738095238095,227.06,234.89,12.435652279596853,58.63939253060591,0.3384571428571429,0.35315857142857143,0.31871,0.33397,0.014078605179829149,33.79827759285676,0.9541142857142858,0.9910238095238096,0.9169,0.9345,0.02527274082032624,30.528431935669175,0.24760000000000001,0.2413238095238095,0.2399,0.2465,0.006079473661428361,51.39442231075696
2025-01-30,104722.94,3247.39,3.1276,677.53,238.31,0.2519,0.33153,0.9595,0.0,103444.55428571429,101216.70285714287,103733.24,101335.52,1439.2772029952428,60.23734459065668,3211.8457142857146,3267.2195238095237,3113.9,3077.72,92.40045145220668,47.39562760823643,3.0770714285714287,2.982847619047619,3.0683,3.0572,0.036577758008835635,43.32158690462659,674.3928571428571,689.9366666666667,667.97,661.29,8.958725196302616,40.01176239952948,239.81428571428572,227.0147619047619,228.16,227.06,11.435696826374729,60.143358470842976,0.33552428571428566,0.35366,0.32404,0.31871,0.0128580634326512,38.034915903768365,0.9502285714285713,0.993642857142857,0.9399,0.9169,0.021188653747206358,31.685964416831425,0.2474857142857143,0.24188095238095236,0.2402,0.2399,0.00597423037482066,58.60465116279069
